# timestamp tx ty tz qx qy qz qw
1.716292649813456297e+09 -8.941639900207519531e+00 -6.973221778869628906e+00 1.609809041023254395e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649864069223e+09 -8.908304214477539062e+00 -6.955922603607177734e+00 1.602701425552368164e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292649963929892e+09 -8.810774803161621094e+00 -6.897452831268311435e+00 1.587167024612426758e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650014145851e+09 -8.776364326477050781e+00 -6.878244876861572266e+00 1.579875946044922097e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650064213991e+09 -8.740398406982421875e+00 -6.857758998870849609e+00 1.573124170303344727e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650114395142e+09 -8.705412864685058594e+00 -6.837627410888671875e+00 1.566820740699768066e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650164436579e+09 -8.635348320007324219e+00 -6.790912151336669922e+00 1.560447096824645996e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650215240002e+09 -8.598350524902343750e+00 -6.770079612731933594e+00 1.554319143295288086e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650264896154e+09 -8.558901786804199219e+00 -6.747502326965332031e+00 1.547934293746948242e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650315143108e+09 -8.517517089843750000e+00 -6.722521305084228516e+00 1.541805267333984375e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650415964842e+09 -8.441747665405273438e+00 -6.670076847076416016e+00 1.535325527191162109e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650465461731e+09 -8.366607666015625000e+00 -6.623309135437011719e+00 1.523604154586791992e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650515679836e+09 -8.326050758361816406e+00 -6.597239494323730469e+00 1.517832398414611816e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650565875292e+09 -8.288409233093261719e+00 -6.573921203613281250e+00 1.512703180313110352e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650666113853e+09 -8.175919532775878906e+00 -6.495320796966552734e+00 1.502508640289306641e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650716225624e+09 -8.138136863708496094e+00 -6.468942642211914062e+00 1.497861742973327637e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650766879559e+09 -8.101378440856933594e+00 -6.441272258758544922e+00 1.493231773376464844e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650867263794e+09 -7.993041038513183594e+00 -6.354195117950440341e+00 1.484585642814636230e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650917313099e+09 -7.959496021270751953e+00 -6.325686931610107422e+00 1.480689287185668945e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292650967479229e+09 -7.926788330078125000e+00 -6.296121597290039062e+00 1.476750135421752930e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651067721128e+09 -7.827274799346923828e+00 -6.205945968627929688e+00 1.469094157218933105e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651117977381e+09 -7.796787738800048828e+00 -6.173564434051513672e+00 1.465001344680785911e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651168028116e+09 -7.763980865478515625e+00 -6.137656688690185547e+00 1.460510611534118874e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651218132973e+09 -7.731920242309570312e+00 -6.100790023803710938e+00 1.456095218658447266e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651268305302e+09 -7.668472290039062500e+00 -6.037492752075195312e+00 1.451408147811889648e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651318526506e+09 -7.641774177551268643e+00 -6.001854896545410156e+00 1.446613669395446777e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651369613647e+09 -7.617676258087158203e+00 -5.966114997863769531e+00 1.441779613494873047e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651418759108e+09 -7.592988491058349609e+00 -5.927845478057861328e+00 1.436831116676330566e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651468879223e+09 -7.571671009063720703e+00 -5.890084743499755859e+00 1.431555867195129395e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651518918991e+09 -7.518570899963378906e+00 -5.826352119445800781e+00 1.426542043685913086e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651569215536e+09 -7.499115467071533203e+00 -5.786063194274902344e+00 1.420679330825805664e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651619345665e+09 -7.481221675872802734e+00 -5.745307922363281250e+00 1.414814114570617676e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651669560909e+09 -7.465947151184082031e+00 -5.704328536987304688e+00 1.408702731132507102e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651719603539e+09 -7.422731876373291016e+00 -5.640523910522460938e+00 1.403387904167175293e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651769939423e+09 -7.408660411834716797e+00 -5.597753524780273438e+00 1.398112654685973899e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651820051432e+09 -7.397136211395263672e+00 -5.554801940917968750e+00 1.393076181411743164e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
1.716292651870326757e+09 -7.386629104614257812e+00 -5.510346889495849609e+00 1.388116359710693359e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
